,title,studio,domestic_gross,foreign_gross,year
1735,Leviathan (2014),SPC,1100000.0,,2014
1752,Holiday (2014),Relbig.,707000.0,,2014
1756,The Signal (2014),Focus,601000.0,,2014
1758,Highway (2014),UTV,529000.0,,2014
1771,Joe (2014),RAtt.,373000.0,,2014
1782,Elsa & Fred (2014),MNE,286000.0,,2014
1788,Action Jackson (2014),Eros,257000.0,,2014
1792,Gabrielle (2014),EOne,5500.0,222000,2014
1795,The Double (2014),Magn.,200000.0,,2014
1817,The Notebook (2014),SPC,66600.0,,2014
1825,The Rocket (2014),KL,56800.0,,2014
1883,Cinderella (2015),BV,201200000.0,342400000,2015
1890,Home (2015),Fox,177400000.0,208600000,2015
1909,Everest (2015),Uni.,43500000.0,159900000,2015
1916,Focus (2015),WB,53900000.0,105200000,2015
1923,Point Break (2015),WB,28800000.0,104900000,2015
1943,Poltergeist (2015),Fox,47400000.0,48000000,2015
1966,The Gift (2015),STX,43800000.0,15200000,2015
1978,Concussion (2015),Sony,34500000.0,14100000,2015
1980,Coming Home (2015),SPC,378000.0,46400000,2015
1982,Max (2015),WB,42700000.0,1300000,2015
1997,The Secret in their Eyes (2015),STX,20200000.0,14700000,2015
2020,Macbeth (2015),Wein.,1100000.0,15200000,2015
2041,Trumbo (2015),BST,7900000.0,378000,2015
2045,Grandma (2015),SPC,7000000.0,107000,2015
2046,Our Brand Is Crisis (2015),WB,7000000.0,,2015
2067,Phoenix (2015),IFC,3200000.0,,2015
2075,Captive (2015),Par.,2600000.0,218000,2015
2086,Assassination (2015),WGUSA,1900000.0,,2015
2095,I (2015),AaF,1400000.0,,2015
2101,Iris (2015),Magn.,1300000.0,,2015
2134,Phantom (2015),UTV,490000.0,,2015
2155,Running Man (2015),CL,311000.0,,2015
2162,Love (2015),Alc,249000.0,,2015
2175,Stonewall (2015),RAtt.,188000.0,,2015
2192,Forever Young (2015),CL,150000.0,,2015
2197,Twenty (2015),CJ,136000.0,,2015
2218,Hero (2015),Eros,88700.0,,2015
2230,Girlhood (2015),Strand,60800.0,,2015
2237,Heist (2015),LGP,50100.0,,2015
2286,Still Life (2015),Trib.,9500.0,,2015
2326,The Jungle Book (2016),BV,364000000.0,602500000,2016
2350,Passengers (2016),Sony,100000000.0,203100000,2016
2358,Ghostbusters (2016),Sony,128400000.0,100800000,2016
2371,The Girl on the Train (2016),Uni.,75400000.0,97800000,2016
2374,The Magnificent Seven (2016),Sony,93400000.0,68900000,2016
2381,Pete's Dragon (2016),BV,76200000.0,67500000,2016
2401,Ben-Hur (2016),Par.,26400000.0,67700000,2016
2419,Moonlight (2016),A24,27900000.0,37200000,2016
2421,The Boy (2016),STX,35800000.0,28400000,2016
2425,Nine Lives (2016),EC,19700000.0,38100000,2016
2442,The Wild Life (2016),LG/S,8000000.0,31500000,2016
2443,Criminal (2016),LG/S,14700000.0,24100000,2016
2457,Race (2016),Focus,19200000.0,5900000,2016
2461,Silence (2016),Par.,7100000.0,16600000,2016
2478,Masterminds (2016),Rela.,17400000.0,,2016
2484,The Take (2016),HTR,50300.0,14800000,2016
2514,My Best Friend's Wedding (2016),Sony,78600.0,5600000,2016
2535,The Program (2016),EOne,13100.0,3300000,2016
2575,Dark Horse (2016),SPC,941000.0,,2016
2583,Little Men (2016),Magn.,703000.0,,2016
2650,Under the Sun (2016),Icar.,105000.0,,2016
2655,"New York, New York (2016)",CL,92400.0,,2016
2665,The Monster (2016),A24,12500.0,62200,2016
2679,High Strung (2016),Pala.,53400.0,,2016
2699,Summertime (2016),Strand,35300.0,,2016
2759,Beauty and the Beast (2017),BV,504000000.0,759500000,2017
2772,Logan (2017),Fox,226300000.0,392700000,2017
2780,The Mummy (2017),Uni.,80200000.0,329000000,2017
2784,Murder on the Orient Express (2017),Fox,102800000.0,250000000,2017
2812,Ghost in the Shell (2017),Par.,40600000.0,129199999,2017
2818,Power Rangers (2017),LGF,85400000.0,57000000,2017
2831,Life (2017),Sony,30200000.0,70300000,2017
2836,Going in Style (2017),WB (NL),45000000.0,39900000,2017
2863,Flatliners (2017),Sony,16900000.0,28300000,2017
2878,Kidnap (2017),Aviron,31000000.0,,2017
2881,The Beguiled (2017),Focus,10700000.0,16700000,2017
2896,The Circle (2017),STX,20500000.0,,2017
2899,Unforgettable (2017),WB,11400000.0,6400000,2017
2910,The Promise (2017),ORF,8199999.0,4200000,2017
2913,Thank You for Your Service (2017),Uni.,9500000.0,,2017
2945,Raw (2017),FCW,515000.0,2600000,2017
2960,Youth (2017),CL,1900000.0,,2017
2966,Jane (2017),Abr.,1700000.0,,2017
2979,Lucky (2017),Magn.,956000.0,,2017
2994,Breathe (2017),BST,490000.0,,2017
3026,Like Crazy (2017),Strand,107000.0,,2017
3062,Glory (2017),FM,18400.0,,2017
3068,Dead Awake (2017),FR,11500.0,,2017
3076,Emily (2017),Hiber,3600.0,,2017
3085,Venom (2018),Sony,213500000.0,641500000,2018
3096,Dr. Seuss' The Grinch (2018),Uni.,270600000.0,241000000,2018
3098,A Star is Born (2018),WB,215300000.0,218900000,2018
3099,Rampage (2018),WB (NL),101000000.0,327000000,2018
3115,Halloween (2018),Uni.,159300000.0,96100000,2018
3125,The Predator (2018),Fox,51000000.0,109500000,2018
3136,Night School (2018),Uni.,77300000.0,25800000,2018
3145,Overboard (2018),PNT,50300000.0,40900000,2018
3147,Robin Hood (2018),LG/S,30800000.0,54000000,2018
3172,Breaking In (2018),Uni.,46800000.0,4600000,2018
3187,Death Wish (2018),MGM,34000000.0,,2018
3212,Beautiful Boy (2018),Amazon,7600000.0,8700000,2018
3214,Tully (2018),Focus,9400000.0,6300000,2018
3239,Life Itself (2018),Amazon,4099999.0,3700000,2018
3244,Every Day (2018),Orion,6100000.0,,2018
3251,Cold War (2018),Amazon,4600000.0,,2018
3252,Papillon (2018),BST,2300000.0,2200000,2018
3282,Nothing to Lose (2018),Swen,1000000.0,,2018
3283,Raid (2018),Eros,1000000.0,,2018
3293,The Party (2017),RAtt.,750000.0,,2018
3299,Loveless (2018),SPC,566000.0,,2018
3301,Fireworks (2018),GK,525000.0,,2018
3326,The Little Mermaid (2018),Conglomerate,147000.0,,2018
3340,Revenge (2018),Neon,102000.0,,2018
3341,Unstoppable (2018),WGUSA,101000.0,,2018
3365,The Apparition (2018),MBox,28300.0,,2018
3378,Hannah (2018),PDF,11700.0,,2018
